gene,community
DNAH9,BrC8
DOCK11,BrC8
DOK1,BrC8
DTX1,BrC8
ECHDC1,BrC8
ECHDC3,BrC8
ECHS1,BrC8
EHHADH,BrC8
EIF4EBP1,BrC8
EIF4EBP2,BrC8
EMC3,BrC8
EPB41L4B,BrC8
EPB42,BrC8
EPDR1,BrC8
ESYT1,BrC8
ETFA,BrC8
ETFB,BrC8
ETFDH,BrC8
FADS3,BrC8
FAH,BrC8
FAM134B,BrC8
FAM166B,BrC8
FAM213A,BrC8
FAM228A,BrC8
FAM234A,BrC8
FAM89A,BrC8
FASN,BrC8
FBXO27,BrC8
FBXW5,BrC8
FFAR4,BrC8
FGFRL1,BrC8
FH,BrC8
FHL1,BrC8
FITM2,BrC8
FKBP5,BrC8
FNDC4,BrC8
FOXO1,BrC8
FRMD4A,BrC8
FZD4,BrC8
FZD5,BrC8
GABRE,BrC8
GBE1,BrC8
GCHFR,BrC8
GDPD5,BrC8
GFPT1,BrC8
GGCT,BrC8
GHR,BrC8
GINS3,BrC8
GLUL,BrC8
GNAI1,BrC8
GNG2,BrC8
GPAM,BrC8
GPATCH11,BrC8
GPBAR1,BrC8
GPC6,BrC8
GPD1,BrC8
GPD1L,BrC8
GPI,BrC8
GPR153,BrC8
GPR180,BrC8
GPT,BrC8
GPT2,BrC8
GPX1,BrC8
GPX3,BrC8
GPX4,BrC8
GRINA,BrC8
GRK3,BrC8
GTDC1,BrC8
GUCD1,BrC8
GYG2,BrC8
GYS1,BrC8
HACD1,BrC8
HACD2,BrC8
HADH,BrC8
HCAR2,BrC8
HEBP2,BrC8
HEPACAM,BrC8
HMOX2,BrC8
HOGA1,BrC8
HOXA10,BrC8
HOXB8,BrC8
HRASLS5,BrC8
HSD17B4,BrC8
HSDL2,BrC8
HSPA12A,BrC8
HSPB7,BrC8
IDH1,BrC8
IMPDH1,BrC8
INPP5K,BrC8
IRF8,BrC8
ITGA7,BrC8
ITGB1BP1,BrC8
ITIH5,BrC8
ITPK1,BrC8
ITSN1,BrC8
KCNB1,BrC8
KCNIP2,BrC8
KIAA1161,BrC8
KIF1C,BrC8
KLB,BrC8
KLF14,BrC8
KLF15,BrC8
KLHDC8B,BrC8
KLHL31,BrC8
KLLN,BrC8
LDHB,BrC8
LDHD,BrC8
LEP,BrC8
LETM1,BrC8
LGALS12,BrC8
LIPE,BrC8
LPIN1,BrC8
LPL,BrC8
LVRN,BrC8
MAOA,BrC8
MAPK10,BrC8
MARC1,BrC8
MARCH2,BrC8
MCCC1,BrC8
MDFIC,BrC8
MDH1,BrC8
ME1,BrC8
MEST,BrC8
MGAT3,BrC8
MGST1,BrC8
MIEF1,BrC8
MLEC,BrC8
MLX,BrC8
MLXIPL,BrC8
MLYCD,BrC8
MMD,BrC8
MMP15,BrC8
MOGAT1,BrC8
MPST,BrC8
MRAP,BrC8
MRAS,BrC8
MRPL46,BrC8
MTCH2,BrC8
MTHFD1,BrC8
MTURN,BrC8
MXD4,BrC8
MYCBP2,BrC8
MYO16,BrC8
MYO1C,BrC8
MYZAP,BrC8
NACC2,BrC8
NADK,BrC8
NAT8L,BrC8
NMB,BrC8
NMT2,BrC8
NNT,BrC8
NPR1,BrC8
NQO2,BrC8
NSDHL,BrC8
NWD2,BrC8
NXNL1,BrC8
OPTN,BrC8
ORMDL3,BrC8
OXCT1,BrC8
PALM,BrC8
PARVA,BrC8
PC,BrC8
PCCA,BrC8
PCK1,BrC8
PCK2,BrC8
PCOLCE2,BrC8
PCYT2,BrC8
PDE3B,BrC8
PDE8B,BrC8
PDHA1,BrC8
PDP2,BrC8
PDXK,BrC8
PDZD2,BrC8
PECR,BrC8
PEMT,BrC8
PEX11A,BrC8
PEX19,BrC8
PFKFB1,BrC8
PFKFB3,BrC8
PGD,BrC8
PGM1,BrC8
PGM3,BrC8
PHLDA3,BrC8
PHLDB1,BrC8
PHYH,BrC8
PJA1,BrC8
PLA2G16,BrC8
PLEKHG6,BrC8
PLIN1,BrC8
PLIN4,BrC8
PLIN5,BrC8
PLOD2,BrC8
PLXNA4,BrC8
PMM1,BrC8
PNPLA2,BrC8
POLR2E,BrC8
POLR2L,BrC8
POR,BrC8
PPARA,BrC8
PPARG,BrC8
PPARGC1B,BrC8
PPP1R1A,BrC8
PPP2R1B,BrC8
PQLC1,BrC8
PQLC2L,BrC8
PRDX6,BrC8
PRKAR2B,BrC8
PRKCD,BrC8
PRRT4,BrC8
PSMA7,BrC8
PSMD8,BrC8
PTEN,BrC8
PTGER3,BrC8
PTPRG,BrC8
PTPRS,BrC8
PXDN,BrC8
PXMP2,BrC8
